T0;T1;T2;T3;Value;Jobs;Heartbeat;Cluster;Name
1617110367266;1617110378613;1617110378630;1617110378631;311;75;30;node1:0;node3
1617110367267;1617110378632;1617110378653;1617110378655;312;75;22;node1:0;node3
1617110367269;1617110378655;1617110378674;1617110378675;313;75;24;node1:0;node3
1617110367271;1617110378675;1617110378695;1617110378696;314;75;20;node1:0;node3
1617110367272;1617110378696;1617110378714;1617110378716;315;75;21;node1:0;node3
1617110367273;1617110378715;1617110378733;1617110378735;316;75;20;node1:0;node3
1617110367275;1617110378734;1617110378744;1617110378746;317;75;20;node1:0;node3
1617110367276;1617110378745;1617110378772;1617110378773;318;75;30;node1:0;node3
1617110367279;1617110378775;1617110378797;1617110378799;319;74;27;node1:0;node3
1617110367281;1617110378799;1617110378820;1617110378821;320;74;26;node1:0;node3
1617110367282;1617110378821;1617110378849;1617110378850;321;74;23;node1:0;node3
1617110367284;1617110378851;1617110378879;1617110378880;322;74;29;node1:0;node3
1617110367285;1617110378880;1617110378899;1617110378900;323;74;29;node1:0;node3
1617110367291;1617110378900;1617110378921;1617110378923;324;74;23;node1:0;node3
1617110367293;1617110378922;1617110378948;1617110378949;325;74;20;node1:0;node3
1617110367295;1617110378949;1617110378972;1617110378973;326;74;27;node1:0;node3
1617110367296;1617110378974;1617110378994;1617110378996;327;74;23;node1:0;node3
1617110367302;1617110378995;1617110379017;1617110379019;328;74;23;node1:0;node3
1617110367304;1617110379022;1617110379044;1617110379045;329;74;22;node1:0;node3
1617110367305;1617110379045;1617110379072;1617110379073;330;74;28;node1:0;node3
1617110367306;1617110379073;1617110379095;1617110379096;331;74;28;node1:0;node3
1617110367308;1617110379096;1617110379124;1617110379125;332;74;22;node1:0;node3
1617110367310;1617110379125;1617110379149;1617110379151;333;74;29;node1:0;node3
1617110367312;1617110379150;1617110379176;1617110379177;334;74;26;node1:0;node3
1617110367313;1617110379178;1617110379198;1617110379199;335;74;26;node1:0;node3
1617110367315;1617110379199;1617110379220;1617110379221;336;74;22;node1:0;node3
1617110367316;1617110379222;1617110379244;1617110379246;337;74;22;node1:0;node3
1617110367317;1617110379245;1617110379266;1617110379268;338;74;25;node1:0;node3
1617110367319;1617110379267;1617110379288;1617110379289;339;74;22;node1:0;node3
1617110367322;1617110379289;1617110379313;1617110379314;340;74;21;node1:0;node3
1617110367323;1617110379315;1617110379335;1617110379336;341;74;25;node1:0;node3
1617110367325;1617110379336;1617110379357;1617110379358;342;74;22;node1:0;node3
1617110367326;1617110379358;1617110379380;1617110379381;343;74;22;node1:0;node3
1617110367328;1617110379383;1617110379400;1617110379401;344;74;23;node1:0;node3
1617110367329;1617110379400;1617110379423;1617110379425;345;74;21;node1:0;node3
1617110367331;1617110379424;1617110379443;1617110379444;346;74;23;node1:0;node3
1617110367333;1617110379444;1617110379465;1617110379467;347;74;20;node1:0;node3
1617110367334;1617110379466;1617110379491;1617110379492;348;74;22;node1:0;node3
1617110367336;1617110379491;1617110379512;1617110379513;349;74;25;node1:0;node3
1617110367337;1617110379513;1617110379537;1617110379539;350;74;22;node1:0;node3
1617110367338;1617110379538;1617110379558;1617110379559;351;74;25;node1:0;node3
1617110367340;1617110379559;1617110379581;1617110379582;352;74;20;node1:0;node3
1617110367343;1617110379582;1617110379607;1617110379608;353;74;23;node1:0;node3
1617110367344;1617110379607;1617110379620;1617110379622;354;74;23;node1:0;node3
1617110367345;1617110379621;1617110379644;1617110379645;355;74;40;node1:0;node3
1617110367347;1617110379645;1617110379669;1617110379670;356;73;23;node1:0;node3
1617110367348;1617110379669;1617110379691;1617110379692;357;73;25;node1:0;node3
1617110367349;1617110379692;1617110379715;1617110379716;358;73;23;node1:0;node3
1617110367352;1617110379716;1617110379743;1617110379745;359;73;23;node1:0;node3
1617110367353;1617110379744;1617110379766;1617110379768;360;73;29;node1:0;node3
1617110367355;1617110379767;1617110379790;1617110379792;361;73;23;node1:0;node3
1617110367356;1617110379791;1617110379804;1617110379806;362;73;23;node1:0;node3
